Sex,Weight (mg)
F,17.1
F,15.6
F,14.8
F,16.1
F,29.4
F,15
F,30.4
F,15.5
F,22.6
F,22.1
F,16.6
F,13.3
F,19.5
F,30.2
F,19.1
F,14.6
M,10.5
M,12.8
M,15.2
M,7.6
M,8.1
M,10.3
M,12.6
M,8.1
M,8.3
M,15.5
M,6.1
M,13.4
M,7.7
M,9
M,9.5
M,8.7
M,9.3
M,11.7
M,8.5
M,13
M,10.7
M,7.2
M,9.8
M,19.3
M,12.3
M,12.5
M,10.3
M,18
M,11.4
M,9.2
M,13.1
M,10.8
M,5.4
M,9.7
M,10.8
M,11.2
M,16.1
M,7.4
M,9.1
M,8
M,16
F,27.4
F,16.8
F,11.5
F,8.4
M,10.7
F,13.2
M,13.9
F,25.2
F,10.7
M,12.6
F,28.2
F,10.7
F,21
M,11.8
M,10.1
F,30.3
F,17.6
F,20.3
F,22.5
F,23.2
F,22.8
M,12.1
M,13.2
F,18.8
F,18.8
F,12
F,28.6
F,18.2
F,24.6
M,16.9
F,23.8
F,17.8
F,15.8
F,24.1
F,23.6
M,17.9
F,22.9
F,30.9
M,9.1
M,10.1
F,14.4
M,15.3
M,12.1
F,20.1
F,22.1
F,21.8
M,8.1
F,26.3
